model_name,feature_set,estimator,feature_count,log_loss,brier,accuracy,auc,avg_pred,actual_mean,n,accuracy_tuned_threshold,tuned_threshold,validation_accuracy_at_tuned_threshold
robust_elo_only__logistic_l2,robust_elo_only,logistic_l2,6,0.6858111166193595,0.24640606550051056,0.5496411483253588,0.5555067110864016,0.5272823488737627,0.5316985645933014,1672,0.5352870813397129,0.405,0.5527299925205684
statcast_team_plus_pitchmix__random_forest_accuracy,statcast_team_plus_pitchmix,random_forest_accuracy,658,0.6859882236623899,0.2465188282615757,0.5352870813397129,0.5496812898387702,0.5174103948502378,0.5316985645933014,1672,0.5472488038277512,0.45500000000000007,0.5467464472700074
full_non_market__extra_trees_accuracy,full_non_market,extra_trees_accuracy,1987,0.6861039352390259,0.24653486765481147,0.5436602870813397,0.5560382538389597,0.5105670393045415,0.5316985645933014,1672,0.5466507177033493,0.44500000000000006,0.5587135377711294
starter_plus_team__random_forest_accuracy,starter_plus_team,random_forest_accuracy,422,0.6862560780509086,0.24663295325069606,0.5316985645933014,0.5539178292368626,0.5154197666377911,0.5316985645933014,1672,0.5305023923444976,0.44000000000000006,0.5489902767389678
full_non_market__random_forest_accuracy,full_non_market,random_forest_accuracy,1987,0.6865860081157766,0.24680274324452056,0.5316985645933014,0.5516207025845907,0.5165973530281274,0.5316985645933014,1672,0.5394736842105263,0.44000000000000006,0.5549738219895288
team_form_plus_elo__extra_trees,team_form_plus_elo,extra_trees,143,0.6865958599838141,0.24677588584213553,0.5454545454545454,0.5529711084964954,0.5302288479580622,0.5316985645933014,1672,0.5424641148325359,0.4700000000000001,0.5579655946148093
elo_only__random_forest,elo_only,random_forest,40,0.6867408484076709,0.24691354671926766,0.5293062200956937,0.550662489027952,0.5277841503267713,0.5316985645933014,1672,0.5424641148325359,0.42000000000000004,0.5534779356768885
all_clean__extra_trees_accuracy,all_clean,extra_trees_accuracy,2032,0.686804096020471,0.24688303646250964,0.5221291866028708,0.5507630511703279,0.5103150505987004,0.5316985645933014,1672,0.5448564593301436,0.44000000000000006,0.5527299925205684
all_clean__random_forest_accuracy,all_clean,random_forest_accuracy,2032,0.68690595091825,0.24696951493404873,0.5364832535885168,0.5498694847052165,0.5168149020000191,0.5316985645933014,1672,0.5370813397129187,0.4700000000000001,0.5542258788332087
market_elo_cluster__extra_trees,market_elo_cluster,extra_trees,55,0.6870302494196138,0.24697936215145577,0.555622009569378,0.5543373170307734,0.5303994833219918,0.5316985645933014,1672,0.5484449760765551,0.45500000000000007,0.5632011967090501
team_form_plus_elo__random_forest,team_form_plus_elo,random_forest,143,0.6876760568749151,0.24731668970886467,0.5424641148325359,0.5472979670644618,0.5317738376158915,0.5316985645933014,1672,0.5299043062200957,0.42000000000000004,0.5474943904263276
market_elo_cluster__random_forest_accuracy,market_elo_cluster,random_forest_accuracy,55,0.6880996363766624,0.24748688343359548,0.5293062200956937,0.5504412523147251,0.5169280871745652,0.5316985645933014,1672,0.5442583732057417,0.44500000000000006,0.5497382198952879
accuracy_core_no_box__hist_gbdt,accuracy_core_no_box,hist_gbdt,949,0.688122021124021,0.24752089009081088,0.5370813397129187,0.5498924703377595,0.5350585866687069,0.5316985645933014,1672,0.5460526315789473,0.4800000000000001,0.5459985041136873
elo_only__logistic_l2,elo_only,logistic_l2,40,0.688309822246622,0.24764639860010776,0.5388755980861244,0.5477950313682054,0.5284851644631132,0.5316985645933014,1672,0.5340909090909091,0.41000000000000003,0.5557217651458489
all_clean__xgboost_logloss,all_clean,xgboost_logloss,2032,0.6885662980823661,0.2477779308542089,0.5322966507177034,0.5522370048571514,0.5336323438399431,0.5316985645933014,1672,0.5322966507177034,0.5000000000000001,0.537771129394166
elo_only__random_forest_accuracy,elo_only,random_forest_accuracy,40,0.6891999778858753,0.2480390493939704,0.5418660287081339,0.551883600756802,0.5123255247664587,0.5316985645933014,1672,0.5430622009569378,0.405,0.5594614809274495
team_form_plus_elo__extra_trees_accuracy,team_form_plus_elo,extra_trees_accuracy,143,0.6892056275292474,0.24804438306836146,0.5424641148325359,0.5478898471024456,0.5083547236114735,0.5316985645933014,1672,0.5388755980861244,0.42500000000000004,0.5609573672400897
accuracy_core_no_box__xgboost_logloss,accuracy_core_no_box,xgboost_logloss,949,0.6894542857742754,0.24816646588729607,0.5352870813397129,0.5495405028394439,0.5328851381593058,0.5316985645933014,1672,0.5227272727272727,0.5350000000000001,0.5362752430815259
team_form_plus_elo__random_forest_accuracy,team_form_plus_elo,random_forest_accuracy,143,0.6895194254492195,0.24818339214463525,0.5293062200956937,0.5470163930658093,0.5164650145685405,0.5316985645933014,1672,0.5340909090909091,0.44500000000000006,0.5512341062079282
market_elo_cluster__extra_trees_accuracy,market_elo_cluster,extra_trees_accuracy,55,0.6895410879533908,0.24817507812998466,0.5370813397129187,0.5532081478320956,0.5075346519560571,0.5316985645933014,1672,0.5442583732057417,0.4,0.5594614809274495
full_non_market__xgboost_logloss,full_non_market,xgboost_logloss,1987,0.6895996230441594,0.2482614912843407,0.5478468899521531,0.550418266682182,0.533396181913369,0.5316985645933014,1672,0.5221291866028708,0.5200000000000001,0.5422587883320867
robust_elo_only__extra_trees,robust_elo_only,extra_trees,6,0.6896606186307167,0.24828148327615365,0.5358851674641149,0.5368402225583871,0.5266446773206523,0.5316985645933014,1672,0.5340909090909091,0.44000000000000006,0.550486163051608
market_elo_cluster__logistic_l2,market_elo_cluster,logistic_l2,55,0.6897069412293495,0.24830707030493684,0.5352870813397129,0.5447479984542162,0.5295650041991107,0.5316985645933014,1672,0.5340909090909091,0.405,0.5482423335826477
starter_plus_team__xgboost_logloss,starter_plus_team,xgboost_logloss,422,0.6899613191840442,0.24845218574284797,0.5394736842105263,0.550171171132344,0.5314687945697296,0.5316985645933014,1672,0.534688995215311,0.43500000000000005,0.5489902767389678
all_clean__hist_gbdt,all_clean,hist_gbdt,2032,0.6900322881474621,0.24852308796214506,0.541267942583732,0.5431878486453561,0.5335667458299997,0.5316985645933014,1672,0.5185406698564593,0.5500000000000002,0.5400149588631264
