,home_flag_passer,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,total_top_seconds_ewma,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense,roof_dome,roof_outdoors,surface_astroturf,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf
280,True,0.714565441831086,27.690949895722003,198.94095116332682,120.09797111000523,3.1355721389812605,1.1127044486113837,4.513865426444877,2.574820451877369,229.40822450881595,0.6715890485814702,1210.0329598488847,False,0.6557099084361214,32.27853004425179,263.06312471004884,148.02567605151665,3.99360315877786,0.7400028221709678,4.216470190544497,1.643816229232916,261.5005649940031,0.48033223567801187,0,1,0,0,0,0,0
281,True,0.714565441831086,27.690949895722003,198.94095116332682,120.09797111000523,3.1355721389812605,1.1127044486113837,4.513865426444877,2.574820451877369,229.40822450881595,0.6715890485814702,1210.0329598488847,False,0.6557099084361214,32.27853004425179,263.06312471004884,148.02567605151665,3.99360315877786,0.7400028221709678,4.216470190544497,1.643816229232916,261.5005649940031,0.48033223567801187,0,1,0,0,0,0,0
282,False,0.7285297687887421,27.751606928217196,185.21369306267073,130.67728194885976,5.798099833478964,0.8943147798725671,4.609278695092883,2.6582701233376573,233.64602611272548,2.9899542219238135,1246.7288407853146,True,0.6494454875199944,31.640782742799523,246.07862645870085,85.29291924984564,-4.4565516287108435,0.46279546549045786,5.099012891264035,1.7681384806980487,194.39553964232172,0.22161934325265897,0,1,0,1,0,0,0
283,False,0.7285297687887421,27.751606928217196,185.21369306267073,130.67728194885976,5.798099833478964,0.8943147798725671,4.609278695092883,2.6582701233376573,233.64602611272548,2.9899542219238135,1246.7288407853146,True,0.6494454875199944,31.640782742799523,246.07862645870085,85.29291924984564,-4.4565516287108435,0.46279546549045786,5.099012891264035,1.7681384806980487,194.39553964232172,0.22161934325265897,0,1,0,1,0,0,0
284,False,0.7188641561947756,27.79966436897312,201.61758425540586,125.1289920210982,6.505505174729943,0.7212886997069556,4.491399502315411,2.5309123946110024,225.78210310611243,4.421617624438877,1215.8255661973467,True,0.6157634172546502,28.0323900631145,235.388217894507,96.62318460278615,-3.9868736366591033,0.6250194215365008,7.0091795872839775,3.327620360476253,195.03148617622276,-0.34928208439655045,0,1,0,0,1,0,0
285,False,0.7188641561947756,27.79966436897312,201.61758425540586,125.1289920210982,6.505505174729943,0.7212886997069556,4.491399502315411,2.5309123946110024,225.78210310611243,4.421617624438877,1215.8255661973467,True,0.6157634172546502,28.0323900631145,235.388217894507,96.62318460278615,-3.9868736366591033,0.6250194215365008,7.0091795872839775,3.327620360476253,195.03148617622276,-0.34928208439655045,0,1,0,0,1,0,0
289,False,0.5488515501860345,29.580940594059406,253.66287128712878,96.9769801980198,3.8284150961011942,0.22054455445544557,9.235643564356437,3.705693069306931,231.76782178217823,-7.3727270763699355,1415.80198019802,True,0.6800864447959996,35.202708333811685,259.83124129574907,123.44924947776603,0.1999825314387175,0.9203881575405019,6.728099490133972,3.555130851316512,233.88635904606764,0.6175118914132353,0,1,0,1,0,0,0
290,False,0.5488515501860345,29.580940594059406,253.66287128712878,96.9769801980198,3.8284150961011942,0.22054455445544557,9.235643564356437,3.705693069306931,231.76782178217823,-7.3727270763699355,1415.80198019802,True,0.6800864447959996,35.202708333811685,259.83124129574907,123.44924947776603,0.1999825314387175,0.9203881575405019,6.728099490133972,3.555130851316512,233.88635904606764,0.6175118914132353,0,1,0,1,0,0,0
294,True,0.6612726144645918,40.77892949338798,315.00063192245085,137.5771039487215,0.3332191456740622,0.6003459882824431,8.787129179855068,3.3416169873755606,300.19293014576436,1.4738744613691486,1429.97650472681,False,0.6793861276930988,32.32946902032065,265.2839875850006,103.21722221947797,-4.51208062166981,1.1667471616674958,4.784421903729732,2.5120280797162198,220.02413072396638,-0.8167603779069703,0,0,0,0,1,0,0
295,True,0.6612726144645918,40.77892949338798,315.00063192245085,137.5771039487215,0.3332191456740622,0.6003459882824431,8.787129179855068,3.3416169873755606,300.19293014576436,1.4738744613691486,1429.97650472681,False,0.6793861276930988,32.32946902032065,265.2839875850006,103.21722221947797,-4.51208062166981,1.1667471616674958,4.784421903729732,2.5120280797162198,220.02413072396638,-0.8167603779069703,0,0,0,0,1,0,0
